,resistive_heating
614,393.87073786366284
615,345.74346832225075
616,377.20244260333646
617,374.90587646643326
618,425.82445112677124
619,422.4534531618956
620,428.29183951476324
621,434.01323718481285
622,414.506528815773
623,428.1595791058527
624,431.37891675675974
625,406.67950380663433
626,396.3165277247025
627,395.2983973128445
628,394.74349882800476
629,410.082606992417
630,395.7047739105007
631,429.9822477285644
632,444.66343454496683
633,452.26231598186394
634,471.52596826538934
635,466.1315293945188
636,437.195182054157
637,434.5412232126103
638,421.65419238630074
639,379.40294553055435
640,399.46096864445616
641,451.1195141334687
642,455.72247790441685
643,428.50771510998095
644,457.90705847009673
645,431.6150832639463
646,421.3903668487716
647,438.9137992611259
648,436.803029518612
649,428.8542704561996
650,401.5060941129385
651,385.434913204546
652,386.63949925478977
653,411.4586394389501
654,378.2826580013637
655,402.91479231543246
656,424.82392686370383
657,445.02071006499773
658,442.77706137592133
659,464.2392322792966
660,442.93720568379916
661,441.05928539723203
662,407.05884054140046
663,383.68635031881036
664,396.8240315478545
665,439.01858843762335
666,440.4930023227442
667,449.6457742078818
668,475.2858308777272
669,453.84249589931943
670,469.3040920946718
671,438.33132768783474
672,434.04810668216385
673,410.0855934542715
674,411.40285743142607
675,409.9959735041777
676,414.0010341922868
677,432.4969145969768
678,422.1126598399806
679,424.3191917755774
680,452.16728135738634
681,486.6217150573411
682,511.7645295321372
683,495.37445947131386
684,483.16364818790254
685,454.08926558377215
686,449.44483772427833
687,429.8379924014171
688,445.06605575158864
689,469.36144350596726
690,471.27948609833237
691,470.7760051306742
692,462.8041935675656
693,456.2935098740726
694,456.9344783249359
695,469.5561765905061
696,472.6369324995631
697,453.1774709971958
698,453.3159002817597
699,440.9513326000336
700,435.3772381218267
701,450.3735005172168
702,464.47593613724786
703,448.99831365315424
704,433.2202558350882
705,439.78736591392453
706,494.6994535606017
707,504.48068914196733
708,494.62572916625356
709,452.89266778807985
710,457.84195964515567
711,445.346124793394
712,437.21380581183104
713,472.05124632949423
714,509.9055738345954
715,524.106985728577
716,470.39390578992453
717,488.66415503260095
718,475.3539859687728
719,469.4690410186545
720,443.6755605657828
721,445.1178171739126
722,426.62713994301356
723,425.57278935968753
724,423.1119291118015
725,449.130489062262
726,439.4040575031864
727,425.36046455241797
728,407.61555865881706
729,426.2219043607052
730,460.6391660578622
731,470.2821459981596
732,496.96074597715204
733,478.38238054772654
734,463.467445285312
735,431.13782311654427
736,436.35871659008365
737,459.575002683568
738,506.95532621109044
739,510.9102667353154
740,487.99823612477854
741,480.6816772810683
742,473.67482503859327
743,488.88952327689185
744,456.4120136023724
745,414.8484524810745
746,416.02613645946474
747,435.9384441688458
748,433.73625333017316
749,446.79279118069064
750,435.82691068133556
751,450.1153089081934
752,476.9903751701241
753,489.4665899250381
754,513.2068438327115
755,520.2898800294103
756,508.37811598483825
757,496.9999751050288
758,469.00667578400174
759,433.2611829529772
760,451.23748047604965
761,434.0379390013985
762,478.508011959575
763,477.27437019494624
764,458.27054288097247
765,478.3735415473829
766,456.70896344307516
767,463.75208666672876
768,476.1917454386082
769,448.0789069030617
770,442.9185144495423
771,435.30407334036187
772,420.7761209869145
773,438.5623993827359
774,417.52526742270965
775,431.8810344374706
776,443.95352993439207
777,469.19723652859403
778,455.9759493173142
779,489.6494051490838
780,497.34648538426825
781,448.4844426899736
782,440.32449057219816
783,430.2008306655925
784,410.14914412405625
785,418.9789660588152
786,445.83694491047225
787,441.91894294333173
788,447.59941414266655
789,463.1603171819889
790,420.51425827779605
791,428.5880289026644
792,442.6847669508027
793,431.94737860757436
794,405.5424889997794
795,399.98901568697113
796,394.6489783265866
797,413.2409949477213
798,393.94383392769663
799,422.92129135887
800,441.18602114543245
801,444.08024675324197
802,441.3374599915387
803,460.4978989334863
804,445.89538428697136
805,432.3851963235691
806,403.4776844942713
807,388.3882965080594
808,387.7383943723578
809,417.3911608899992
810,454.0131030757844
811,459.24602104946376
812,453.1226882597092
813,454.68056607574414
814,463.42192619339215
815,488.23231453593263
816,491.5870292733397
817,474.73111610540127
818,456.4159889032368
819,468.4916003674361
820,464.0221249984526
821,459.1232925364639
822,443.2312094616216
823,451.7577244506595
824,469.096235152623
825,493.38785431684687
826,491.24851740632346
827,495.49304510051223
828,462.807550142497
829,448.6027787400265
830,430.2888207059469
831,424.0965440637521
832,402.6384932846086
833,425.9573594967213
834,479.26541721491554
835,472.35587943465436
836,476.39292048135735
837,485.86961649555934
838,469.2038554177371
839,472.95575623197175
840,491.6407067466434
841,477.0214544939413
842,453.286437453656
843,434.1270881616274
844,439.33746247054484
845,462.53588549231887
846,429.8388881916029
847,459.25728027844644
848,470.5682296527052
849,483.454259162293
850,487.7058506728954
851,476.62065750704903
852,448.7811672005974
853,449.6966679367496
854,438.9613173481476
855,404.31192376198953
856,417.6476706787918
857,443.94560720563055
858,452.1881734547809
859,458.3257733541784
860,435.2214233298886
861,436.29880302573065
862,428.1636333753873
863,433.57499689479624
864,421.1615115069774
865,414.91666130870146
866,410.2063440831506
867,405.49543810063096
868,403.81563647259225
869,423.7914292385936
870,431.39084393657225
871,428.4583833229373
872,410.8158135452142
873,438.5265225550141
874,443.71070023511714
875,442.4264233367209
876,441.54499089931
877,415.5509362919464
878,425.7528002062157
879,417.3678240399453
880,411.0865586492716
881,432.80303101879986
882,454.2665402224861
883,452.0312251948569
884,426.73638199117596
885,417.2988767063257
886,408.6868403830812
887,438.7061871093604
888,405.6793179151588
889,402.1222141151965
890,405.15444327933426
891,392.99575913310264
892,395.62292490404
893,406.47233630158405
894,412.35037617493856
895,401.1175771252921
896,393.23201161995905
897,381.9143043699666
898,403.9851145536803
899,412.76242581774704
900,422.8559468341917
901,460.60735044955703
902,445.75362319572855
903,385.2552845516083
904,414.71146917341144
905,461.835970179264
906,470.69227649091033
907,467.0430788457726
908,450.308831633483
909,478.2961771694513
910,461.8452146343108
911,449.48129530337457
912,478.1056169893003
913,424.289364123941
914,402.4351210744402
915,394.14612279579154
916,392.08955896561565
917,419.50258702202825
918,377.54081546093437
919,411.07435540776714
920,430.6514025205839
921,447.4256879436643
922,455.0482611865819
923,458.1568073166676
924,449.6256966427873
925,422.57403727705906
926,397.1202948270574
927,389.94467051358134
928,388.17645060390896
929,394.1475659407222
930,422.74216989516196
931,438.5142517850682
932,406.7026696304112
933,426.2754109114224
934,424.45256251448916
935,418.7845753326544
936,436.9959878537419
937,422.8429578915301
938,405.6768423983451
939,399.1247749897666
940,388.24125289907624
941,401.2320114765645
942,389.815325522183
943,420.0494638405212
944,410.5097717753658
945,443.19363645192186
946,461.525660481763
947,455.46239958156167
948,447.1163084236146
949,419.91394904788046
950,394.8769661808155
951,374.3418128394917
952,393.4766737320768
953,396.6961151563785
954,461.78619852701655
955,449.96602879031803
956,458.17112406066946
957,440.91185138800154
958,429.6040823585641
959,441.0172194117799
960,456.8035339129937
961,432.8648654229114
962,422.30016053429404
963,429.0272326411297
964,410.86764045843455
965,438.612069767583
966,419.07014294557575
967,454.08393877908316
968,462.1173349946331
969,485.7941285984338
970,494.4963546590269
971,493.01339748024594
972,493.0709534738196
973,433.7043707853324
974,432.21389485827626
975,387.9545299121775
976,415.2700834865036
977,418.74211947340285
978,441.7644335064393
979,448.96854651222907
980,439.4632129330485
981,472.4158930683661
982,476.1573011722919
983,497.13930782948756
984,507.8216009208866
985,474.57427918839045
986,446.9050779298846
987,454.93378364485164
988,449.3003391491137
989,438.76745919235367
990,407.86209804746625
991,451.61125794310635
992,471.58604679282877
993,495.6868860575345
994,525.2479277928504
995,500.71688993738496
996,471.20127851973984
997,452.19693211657756
998,418.9722327954268
999,402.12916063322666
1000,406.17646482014294
1001,406.4048485785361
1002,434.4279945891641
1003,461.7183540031921
1004,460.57227164515746
1005,438.574287650528
1006,454.0912742923647
1007,467.090339114215
1008,509.73525749205635
1009,481.6001264053943
1010,454.4543628857175
1011,434.1202035832152
1012,436.3153077401323
1013,459.93730969256285
1014,421.2548850450248
1015,458.46194103782796
1016,465.41567350235397
1017,479.13969438421884
1018,487.2157033867815
1019,462.4852473897198
1020,477.68860284154096
1021,470.8061671544002
1022,435.38341305658224
1023,405.49579469665696
1024,416.5945794953985
1025,427.588633609262
1026,426.4194096759842
1027,438.45124281169797
1028,422.8889307302467
1029,426.89348797233276
1030,424.0498707497347
1031,427.5952380272179
1032,430.9427487847571
1033,422.5967603840666
1034,421.9517437489501
1035,416.18983570482516
1036,423.5277382143224
1037,440.1585956293992
1038,432.5931227407814
1039,432.9928428002301
1040,414.97268930074665
1041,421.83262429196225
1042,465.9179654963714
1043,454.52565179741543
1044,440.70205745127856
1045,425.4610156150047
1046,430.4529398023999
1047,429.74949081932334
1048,437.56455463086417
1049,419.0549000562209
1050,410.28751226284714
1051,450.22185572762186
1052,461.1857002014979
1053,450.55733068622254
1054,445.2076818626478
1055,434.45979232951316
1056,418.502057864465
1057,419.1449442589868
1058,423.39001246860647
1059,405.30859943674164
1060,414.9934721434148
1061,440.6499096422903
1062,448.2507856834701
1063,448.45368553871117
1064,414.52305800274263
1065,437.9755947673133
1066,459.51712398922643
1067,476.23050568110204
1068,489.74178506626254
1069,495.75169545612266
1070,434.4076506785582
1071,427.54113479597777
1072,432.4658335226978
1073,467.2829082442525
1074,498.8110777880246
1075,474.4575674507628
1076,512.0943097365073
1077,499.1611168673663
1078,494.99092348294516
1079,511.79951754404925
1080,496.205337894486
1081,486.70257974409344
1082,457.5877052171355
1083,450.4814693356676
1084,453.1300108371974
1085,464.2561636580437
1086,451.19167722700547
1087,460.9820817502138
1088,492.58467653395905
1089,516.6307191289525
1090,530.5888498665779
1091,535.9073467667043
1092,487.7242579158189
1093,490.89604646883055
1094,468.5223683973815
1095,436.16745798453104
1096,425.61273816848745
1097,443.92058837778404
1098,474.76939475831557
1099,479.71091175384925
1100,474.85614670899326
1101,459.60492645946476
1102,463.81133513667027
1103,496.14615230057876
1104,490.1558835435228
1105,450.4935296242437
1106,463.68636882877837
1107,418.9605743089325
1108,404.3560286360298
1109,424.34507847941876
1110,391.20138413646356
1111,420.6331073366637
1112,435.76674297846273
1113,457.7435943713853
1114,446.573693477055
1115,426.12197966108045
1116,417.6059782930971
1117,431.48747352401824
1118,390.77206230559324
1119,377.85555833801885
1120,378.0395785790399
1121,381.7135290057056
1122,404.93466489111
1123,412.4864551001417
1124,385.5418344968654
1125,379.94881049864995
1126,390.10534190680096
1127,404.1294145431657
1128,409.4017491409606
1129,389.8439023780938
1130,383.63021512736765
1131,369.43242391588603
1132,372.186537331129
1133,386.58566885898085
1134,359.1129659758684
1135,415.4309001982146
1136,433.00335242731467
1137,432.7508563203206
1138,465.06231084085846
1139,414.95819769177996
1140,426.4138525816416
1141,413.3700446393518
1142,406.15727300247784
1143,380.4407981776641
1144,375.5110318311334
1145,386.14429809751334
1146,401.56093522469683
1147,392.4544225056852
1148,368.9231108729973
1149,368.5584142604793
1150,367.77503377635986
1151,369.00489672295066
1152,407.9561625269775
1153,376.71242577022036
1154,386.8293905148521
1155,386.956938987451
1156,393.56050210036256
1157,392.33261978966345
1158,368.5272974251959
1159,387.44386289568143
1160,404.3376080125347
1161,406.0125311781109
1162,443.2884642166278
1163,398.9655944841099
1164,400.8660114960942
1165,376.43877584018827
1166,391.2741713277023
1167,366.45092085872426
