,resistive_heating
563,177.6035639422935
564,183.17799874798666
565,174.23140128289268
566,181.31685974330827
567,175.27139311054339
568,161.84221117186783
569,176.25710754266203
570,182.3644599202012
571,186.68267540416016
572,173.3706411234287
573,190.11163302991844
574,183.28034681964476
575,193.0510672066904
576,180.30128267063697
577,181.96612672208377
578,172.53499049489545
579,175.43174923427648
580,180.314695277429
581,180.6842556533813
582,170.23597505257658
583,195.75492320536137
584,188.42029906682893
585,193.6177058334725
586,210.0967303987488
587,209.78834145289088
588,204.97729663027206
589,198.45767698993112
590,201.0550048570845
591,196.18915723578672
592,193.76992755607483
593,192.1282381126833
594,200.55498313510634
595,217.44909037200344
