,total_demand
513,243.59100000000007
514,262.9919999999999
515,283.417
516,241.29600000000005
517,228.84999999999997
518,234.59999999999997
519,244.08100000000002
520,257.34599999999995
521,266.32900000000006
522,244.05000000000004
523,265.62800000000004
524,257.11
525,243.5539999999999
526,236.98600000000005
527,230.66099999999994
528,192.7
529,179.892
530,170.85299999999992
531,172.51600000000002
532,169.91199999999998
533,174.781
534,169.23200000000008
535,185.43300000000008
536,196.2860000000001
537,219.40000000000003
538,215.67999999999998
539,239.49400000000006
540,243.0309999999999
541,246.832
542,237.168
543,243.44400000000007
544,221.57199999999995
545,250.53900000000004
546,258.82899999999995
547,257.0440000000001
548,237.22199999999992
549,229.92999999999995
550,218.947
551,215.91800000000003
552,212.81100000000004
553,187.61799999999994
554,175.56800000000007
555,175.98399999999995
556,182.64399999999995
557,191.11399999999992
558,184.84200000000013
559,196.536
560,196.306
561,206.67599999999993
562,226.56400000000008
563,264.19399999999996
564,270.409
565,254.34699999999998
566,265.274
567,258.07899999999995
568,238.9869999999999
569,266.188
570,274.712
571,284.6559999999999
572,265.524
573,282.7389999999999
574,266.7410000000001
575,260.674
576,225.40300000000008
577,217.33800000000002
578,202.56399999999996
579,204.1230000000001
580,210.91200000000003
581,217.048
582,213.96400000000003
583,256.3100000000001
584,256.23900000000003
585,260.441
586,280.81600000000003
587,278.31600000000003
588,268.0710000000001
589,259.0939999999998
590,265.18799999999993
591,269.13299999999987
592,275.91400000000004
593,278.5270000000001
594,289.94000000000005
595,313.63300000000004
596,315.946
597,288.24999999999994
598,278.53999999999985
599,269.47100000000006
600,234.34399999999988
601,219.40000000000003
602,202.49099999999999
603,206.2660000000001
604,204.66900000000004
605,212.14800000000005
606,219.3740000000001
607,257.995
608,286.49300000000017
609,301.753
610,308.12
611,310.531
612,300.32
613,277.05100000000004
614,268.6279999999998
615,247.75999999999993
616,280.95500000000004
617,280.528
618,312.17199999999985
619,314.676
620,327.7679999999999
621,332.26599999999996
622,315.767
623,303.9909999999998
624,287.814
625,258.06999999999994
626,242.28399999999993
627,244.6489999999999
628,248.66300000000004
629,255.59899999999988
630,261.43
631,287.8570000000001
632,307.2890000000001
633,311.06300000000005
634,331.6760000000001
635,325.39699999999993
636,299.2989999999999
637,290.9029999999999
638,289.4509999999999
639,271.09399999999994
640,295.151
641,337.88400000000007
642,338.05600000000004
643,320.19799999999987
644,328.42999999999995
645,312.21299999999997
646,303.78999999999996
647,306.42199999999997
648,280.555
649,266.9009999999999
650,246.06799999999996
651,234.45000000000005
652,235.06799999999987
653,253.5759999999999
654,245.38399999999996
655,273.16600000000005
656,291.2679999999999
657,301.3690000000002
658,301.761
659,314.60600000000005
660,296.2299999999999
661,298.993
662,285.0959999999999
663,271.142
664,289.9539999999999
665,322.4700000000002
666,324.1499999999999
667,337.08299999999997
668,348.9420000000001
669,334.57000000000005
670,337.1379999999999
671,304.1360000000001
672,275.3120000000002
673,246.23100000000005
674,248.32400000000004
675,247.529
676,248.42799999999997
677,264.0079999999999
678,273.83400000000006
679,281.3069999999999
680,303.1670000000001
681,329.146
682,344.239
683,330.73800000000006
684,321.30299999999994
685,301.46099999999996
686,296.976
687,298.08000000000004
688,318.3720000000002
689,346.587
690,336.20799999999986
691,341.61299999999994
692,336.28700000000003
693,324.2010000000001
694,323.0050000000001
695,321.56899999999996
696,316.227
697,291.32399999999996
698,279.9070000000001
699,271.029
700,264.11299999999994
701,266.946
702,277.64700000000005
703,284.68999999999994
704,296.18999999999994
705,317.08299999999997
706,342.09900000000005
707,358.7660000000001
708,354.417
709,318.016
710,314.08700000000005
711,307.414
712,301.3700000000001
713,326.95399999999995
714,356.5479999999999
715,377.188
716,332.2070000000001
717,344.269
718,328.2139999999999
719,303.069
720,275.90500000000003
721,273.105
722,255.36000000000004
723,252.894
724,256.67199999999997
725,265.346
726,261.76000000000005
727,268.1459999999999
728,266.88699999999994
729,295.63599999999985
730,325.31000000000006
731,340.50899999999996
732,364.60100000000006
733,342.62699999999995
734,317.7370000000001
735,309.1789999999999
736,307.13800000000003
737,321.56999999999994
738,375.3380000000001
739,373.31000000000006
740,353.5320000000001
741,345.2779999999999
742,330.7710000000001
743,331.452
744,290.29999999999995
745,256.579
746,254.73200000000006
747,264.0890000000001
748,270.427
749,279.01199999999994
750,282.6840000000002
751,301.93200000000013
752,321.0779999999999
753,329.39899999999994
754,345.0630000000001
755,352.2420000000001
756,345.3499999999999
757,336.73100000000017
758,316.59800000000007
759,307.67999999999984
760,336.95200000000006
761,317.471
762,342.8299999999999
763,347.80999999999995
764,335.6219999999999
765,348.71899999999994
766,337.509
767,325.51399999999995
768,310.02399999999994
769,281.0670000000001
770,276.1320000000001
771,270.01099999999997
772,262.328
773,275.25399999999996
774,272.287
775,292.493
776,306.2110000000002
777,318.143
778,311.39499999999987
779,337.801
780,334.4799999999999
781,305.9720000000001
782,305.6460000000001
783,311.55600000000004
784,306.93499999999995
785,324.32799999999986
786,341.74700000000007
787,340.8279999999999
788,335.52600000000007
789,344.825
790,308.089
791,299.6209999999999
792,283.01500000000004
793,263.394
794,248.96899999999997
795,243.63000000000017
796,241.11399999999998
797,258.3409999999999
798,255.2330000000001
799,284.512
800,310.7189999999999
801,302.975
802,304.06299999999993
803,317.6040000000001
804,303.226
805,297.80099999999993
806,279.337
807,284.547
808,286.08000000000004
809,316.8800000000001
810,337.74700000000007
811,347.06799999999987
812,337.0440000000001
813,342.98999999999995
814,340.783
815,345.09100000000007
816,314.987
817,291.539
818,279.374
819,280.7060000000001
820,282.38100000000003
821,282.55400000000003
822,285.0
823,301.97600000000006
824,319.009
825,326.7339999999999
826,332.476
827,340.93600000000004
828,303.58000000000004
829,297.405
830,291.85400000000004
831,295.2079999999999
832,291.61299999999994
833,311.26500000000004
834,349.84999999999997
835,353.77900000000005
836,360.8340000000002
837,357.40999999999997
838,345.1449999999999
839,331.725
840,311.84099999999995
841,293.3439999999999
842,279.8480000000001
843,262.5729999999999
844,267.0189999999999
845,280.0000000000001
846,274.3319999999999
847,311.67799999999994
848,321.7589999999999
849,328.1170000000001
850,328.63599999999997
851,321.70700000000005
852,300.1
853,300.44199999999984
854,291.34799999999996
855,280.8519999999999
856,296.1919999999999
857,323.09399999999994
858,334.56600000000003
859,343.51
860,322.19399999999996
861,330.5379999999999
862,321.1189999999999
863,304.7650000000001
864,283.31299999999993
865,267.60900000000004
866,259.87900000000013
867,257.49799999999993
868,251.51399999999992
869,256.634
870,266.4729999999999
871,275.50000000000006
872,286.0369999999999
873,313.9359999999999
874,321.24699999999996
875,329.30499999999995
876,325.9550000000001
877,309.6010000000001
878,304.7349999999999
879,298.7280000000002
880,298.24899999999997
881,322.46099999999996
882,332.626
883,337.9269999999999
884,318.38800000000003
885,312.06299999999993
886,291.514
887,298.14199999999994
888,267.51300000000003
889,252.94700000000003
890,249.39500000000004
891,243.025
892,242.42699999999994
893,247.07299999999987
894,248.6949999999999
895,258.5060000000001
896,269.0150000000002
897,282.79100000000005
898,296.0609999999999
899,308.53200000000004
900,309.13400000000007
901,324.0590000000001
902,316.332
903,275.7419999999999
904,293.384
905,328.827
906,337.12399999999997
907,347.709
908,338.9939999999999
909,360.9090000000001
910,342.09000000000003
911,313.332
912,294.288
913,254.39399999999992
914,243.6380000000002
915,239.476
916,235.94999999999985
917,253.7740000000001
918,243.34300000000013
919,282.64799999999997
920,302.8029999999999
921,303.869
922,316.29
923,318.806
924,315.3910000000001
925,293.24199999999996
926,278.4939999999999
927,293.673
