,stes_charge_qw
465,0.0
466,0.0
467,0.0
468,18.210843813163137
469,82.22127923066355
470,92.19445809043327
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,62.634047814645555
481,103.70332262329464
482,126.7523005851001
483,134.1828814659509
484,134.09747687486328
485,106.86470281618466
486,99.54218825692632
487,57.14578776633496
488,7.078391472955758
489,18.96150005717675
490,32.91574357356578
491,114.7191867668231
492,116.76234883582674
493,54.734549875479985
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,50.88284007050706
505,109.98785107378049
506,117.70816543510801
507,142.75742431960728
508,144.02792351812886
509,117.89268760954366
510,105.12999556441727
511,0.0
512,0.0
513,0.0
514,0.0
515,102.31895729730138
516,32.93845512229066
517,37.79850710981333
518,22.480572267579618
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,22.226798937381574
528,102.22347341325388
529,140.15951478436523
530,161.03291385900062
531,157.14905535869892
532,158.62159172466085
533,154.84581458998105
534,157.57704255864715
535,133.7297351630235
536,88.72871440518517
537,32.18643405511372
538,41.38500005687243
539,29.66993960592211
540,7.669935785149562
541,9.70537225291693
542,3.260255787530099
543,0.0
544,20.45788033849084
545,0.0
546,0.0
547,0.0
548,0.0
549,9.30804753494391
550,35.66021870560547
551,63.23488146153568
552,79.16577330006916
553,135.11904546241718
554,154.41167522763328
555,151.56806904667857
556,145.25045180088821
557,138.3791802221455
558,141.83312394945003
559,125.82436446949828
560,97.547612325973
561,61.50854701853055
562,32.76111662897918
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,4.679884090686812
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,2.0365961603319818
576,82.35002708822549
577,109.87471519111861
578,126.56032082316273
579,123.6635620837817
580,118.78061604062918
581,108.18097305371359
582,96.53641185210392
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,8.33864140305704
589,19.910108924594567
590,4.502471461120422
591,0.0
592,0.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,2.12962509262465
600,85.24107065771864
601,108.52216028304298
602,120.54620531622015
603,115.86601413722167
604,118.17137029144843
605,115.46512332654703
606,104.64228275675592
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,17.82709187308734
614,7.663209016376584
615,21.43944711584595
616,0.0
617,0.0
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,19.98856250350002
625,73.0739704218283
626,84.0038996186783
627,80.35270146121641
628,77.70640000864253
629,76.39716484583792
630,50.40602411094207
631,0.0
632,0.0
633,0.0
634,0.0
635,0.0
636,0.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,31.16480113852697
649,64.82788508902712
650,80.50900171525831
651,89.43518098531251
652,89.85411627041978
653,78.05096818150821
654,71.81656837605158
655,19.1930776906743
656,0.0
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.0
663,0.0
664,0.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.0
671,0.0
672,40.5194029204269
673,81.81001898562565
674,77.21981120455183
675,76.49850442452276
676,76.67807834139029
677,67.598980876144
678,37.60489155365511
679,0.0
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,0.0
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,30.967356223251556
698,50.67502368346001
699,55.635052179761544
700,61.26610997480421
701,58.976260858730996
702,48.13362066246319
703,41.51190341672742
704,56.86390378666093
705,23.96531826136902
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,0.0
714,0.0
715,0.0
716,0.0
717,0.0
718,0.0
719,0.0
720,28.881626211837016
721,52.039586053127465
722,73.26848891195138
723,72.84415613586873
724,68.83831109288116
725,61.51434137782826
726,63.562511996211015
727,57.99154385477533
728,29.918302676998962
729,0.0
730,0.0
731,46.25004574771717
732,0.0
733,0.0
734,0.0
735,0.0
736,0.0
737,0.0
738,0.0
739,0.0
740,0.0
741,0.0
742,0.0
743,0.0
744,52.03482250430619
745,72.82890752660433
746,71.73277964677578
747,62.014158591724254
748,57.872901413014716
749,55.64541057769662
750,62.108542813355456
751,0.0
752,0.0
753,0.0
754,0.0
755,0.0
756,0.0
757,0.0
758,0.4131170779916147
759,0.0
760,0.0
761,0.0
762,0.0
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,37.65041445190212
769,52.680946897977265
770,54.14734599362936
771,58.167495065912334
772,66.59043299798614
773,60.37810344976509
774,72.38552191797393
775,0.0
776,0.0
